"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.153432460E-1,1.939093113E0,-9.236477613E-1,-5.036802292E-1
8.178457080E-1,1.879059672E0,-8.525633812E-1,-7.919492722E-1
8.203484750E-1,1.897073865E0,-7.229889631E-1,-1.059709549E0
8.228511680E-1,1.857973933E0,-6.314258575E-1,-1.146075249E0
8.253536260E-1,1.781115294E0,-5.060665607E-1,-9.438066483E-1
8.278561650E-1,1.605335832E0,-3.969321251E-1,4.981422424E-2
8.303588550E-1,1.259765148E0,-2.280983925E-1,2.103176117E-1
8.328613950E-1,1.068952322E0,-8.311283588E-2,-3.170089722E-1
8.353638860E-1,1.128100872E0,8.407235146E-3,-3.131713867E-1
8.378665760E-1,1.229069710E0,4.657423496E-2,-2.710428238E-1
8.403691170E-1,1.265159965E0,1.326513290E-1,-4.628677368E-1
8.428718070E-1,1.296665788E0,1.912939548E-1,-8.147916794E-1
8.453742800E-1,1.263579369E0,2.290761471E-1,-1.114656448E0
8.478768160E-1,1.264562488E0,2.219489813E-1,-1.345437527E0
8.503795080E-1,1.240849733E0,1.932426691E-1,-1.609058857E0
8.528820490E-1,1.285105109E0,1.289421320E-1,-1.879564762E0
8.553845050E-1,1.322713256E0,-1.649379730E-3,-2.104634285E0
8.578871960E-1,1.299255729E0,-8.036899567E-2,-2.305912971E0
8.603897360E-1,1.397733688E0,-1.742463112E-1,-2.381829739E0
8.628924260E-1,1.420211077E0,-3.265593052E-1,-2.395497799E0
8.653949010E-1,1.439492464E0,-4.111406803E-1,-2.442005634E0
8.678974370E-1,1.440285325E0,-5.109081268E-1,-2.493378639E0
8.704001300E-1,2.126222134E0,-7.377681732E-1,-2.765897274E0
8.729026700E-1,3.313338995E0,-7.015166283E-1,-2.561449051E0
8.754053700E-1,2.845353603E0,-7.448589802E-1,-2.805625916E0
8.779079100E-1,2.696757793E0,-5.871853828E-1,-2.933198452E0
8.804103720E-1,2.840033054E0,-5.766022205E-1,-3.220382214E0
8.829130620E-1,3.094823599E0,-7.173066139E-1,-3.456429482E0
8.854156070E-1,4.418852806E0,-1.272015095E0,-3.386178493E0
8.879180690E-1,5.365171432E0,-1.676764727E0,-3.305669785E0
8.904208360E-1,4.560754776E0,-1.541768074E0,-3.761244774E0
8.929233000E-1,3.873254776E0,-1.490124702E0,-3.969125748E0
8.954259900E-1,3.502589941E0,-1.506481409E0,-3.868659019E0
8.979284830E-1,2.896563530E0,-1.432232618E0,-3.694771290E0
9.004312500E-1,2.216899872E0,-1.383284330E0,-3.829405785E0
9.029337130E-1,1.588864565E0,-1.342580318E0,-3.912520885E0
9.054362520E-1,1.272317290E0,-1.168611765E0,-4.180319786E0
9.079389420E-1,1.509185553E0,-1.036041260E0,-4.379254341E0
9.104414830E-1,1.550478220E0,-9.393897057E-1,-4.193574905E0
9.129439440E-1,1.390934706E0,-8.866713047E-1,-4.169530869E0
9.154466340E-1,1.177076817E0,-8.911538124E-1,-3.999762535E0
9.179491800E-1,9.169713259E-1,-8.277025223E-1,-3.749095917E0
9.204518700E-1,7.145477533E-1,-8.441119194E-1,-3.391665936E0
9.229543340E-1,5.395625830E-1,-8.571105003E-1,-3.082330227E0
9.254568700E-1,3.472682238E-1,-8.610084057E-1,-2.772016525E0
9.279595870E-1,2.330616713E-1,-8.435711861E-1,-2.453702927E0
9.304621270E-1,9.021854401E-2,-8.232991695E-1,-2.122430801E0
9.329648170E-1,-2.628874779E-2,-7.731630802E-1,-1.807243824E0
9.354672810E-1,-1.633994579E-1,-7.701001167E-1,-1.508194447E0
